Town,List Year,Sale Amount,Assessed Value,Sales Ratio,Property Type,Estimated NOI,Cap Rate,SqFt,Price per SqFt
New Haven,2018,1040000.0,641970.0,0.6172,Single Family,72800.0,0.07975401785092755,1093,951.5096065873742
Hartford,2003,194200.0,77840.0,0.400823893,,13594.000000000002,0.06150296959400907,1422,136.56821378340365
Cheshire,2016,475000.0,403160.0,0.848757895,Single Family,33250.0,0.07495263705783065,981,484.1997961264016
Manchester,2017,125000.0,127600.0,1.0208,Single Family,8750.0,0.05286636005502344,2252,55.50621669626998
Kent,2009,100000.0,85100.0,0.851,,7000.000000000001,0.06866616559503955,1460,68.4931506849315
Southington,2016,61900.0,59120.0,0.955088853,Condo,4333.0,0.07988080475272172,2866,21.59804605722261
Stamford,2004,142500.0,101570.0,0.71277193,,9975.000000000002,0.08270335686977753,2898,49.17184265010352
Stamford,2001,1075000.0,460740.0,0.428595349,,75250.0,0.07737778702528013,2784,386.13505747126436
Bridgeport,2014,105000.0,133570.0,1.272095238,Single Family,7350.000000000001,0.05400944729165862,1007,104.27010923535254
Stamford,2004,862000.0,386550.0,0.448433875,,60340.00000000001,0.05373869018468126,1241,694.6011281224819
Danbury,2018,320000.0,190900.0,0.5965,Single Family,22400.000000000004,0.06380506375651253,873,366.5521191294387
Manchester,2013,166000.0,108500.0,0.653614458,Single Family,11620.000000000002,0.06043634184337563,1821,91.15870400878639
Manchester,2004,189900.0,73700.0,0.388098999,,13293.000000000002,0.0814085444658681,815,233.00613496932516
Windsor Locks,2013,239000.0,135000.0,0.564853556,Single Family,16730.0,0.07075969979479645,1249,191.3530824659728
Stamford,2014,265000.0,224060.0,0.845509434,Single Family,18550.0,0.06921627932847672,2791,94.94804729487639
New Haven,2005,260000.0,71190.0,0.273807692,,18200.0,0.061725430595007104,1015,256.1576354679803
Cheshire,2014,330000.0,219090.0,0.663909091,Condo,23100.000000000004,0.06823549590715355,1306,252.67993874425727
Griswold,2004,239000.0,74900.0,0.313389121,,16730.0,0.07792259149207861,1825,130.95890410958904
New Haven,2020,160000.0,78330.0,0.4895,Residential,11200.000000000002,0.06259958717275027,830,192.7710843373494
New Canaan,2017,1537500.0,2078930.0,1.352149593,Single Family,107625.00000000001,0.07166113878968522,1734,886.6782006920415
Bridgeport,2009,248000.0,194710.0,0.785120968,Two Family,17360.0,0.06337727292401867,2321,106.8504954760879
East Haven,2005,182000.0,61600.0,0.338461538,,12740.000000000002,0.07529919822411546,1282,141.96567862714508
Ridgefield,2005,1235000.0,517740.0,0.419222672,,86450.00000000001,0.07069815934399393,2781,444.08486156058973
